CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
4,11,18,2.25,140.10698055481055,7.78372114193392,97.48930220946511,6,3,0,6,0,7,7,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,15,28,3.272727272727273,358.01324730667153,19.88962485037064,86.47411847806492,18,5,0,7,0,31,8,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,8,0,0,6,4,7,2,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,19,45,10.909090909090908,2085.346233872305,115.8525685484614,83.72183272173994,14,1,2,5,0,9,14,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
3,12,21,3.5,263.494743803005,14.638596877944723,91.85519993183632,9,1,0,3,0,11,7,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
7,17,51,5.230769230769231,1090.4093179581678,60.578295442120435,85.67679172685702,16,5,1,9,4,21,17,5,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,7,9,1.2,30.319433158222125,1.6844129532345624,90.57966428009561,16,1,1,7,0,5,2,2,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
1,12,15,3.5714285714285716,192.0515625386334,10.6695312521463,88.87687387171205,16,1,1,5,0,6,2,3,13,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,24,42,6.5,1251.6947626968758,69.53859792760421,83.6153759756646,19,2,0,6,0,14,7,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,1,0,2,0,0,1
4,13,20,5.571428571428571,412.33471145000743,22.907483969444858,95.69907444839787,6,2,1,4,0,7,5,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,14,24,2.1818181818181817,199.36694864592542,11.075941591440301,87.96252995027261,9,2,0,6,0,10,9,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,16,45,5.0,900.0,50.0,80.85590723967637,12,4,2,8,0,18,14,3,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,7,9,1.2,30.319433158222125,1.6844129532345624,67.05898630203882,10,2,0,6,0,7,3,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,6,9,0.6,13.95879750389424,0.7754887502163467,73.05229917500742,5,2,0,5,0,3,4,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,10,19,2.5714285714285716,162.29991549306828,9.016661971837127,96.03648668029304,6,4,0,6,0,8,2,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,9,14,3.6,159.76422007269255,8.875790004038475,86.85469329391805,11,1,0,4,0,3,2,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
3,10,12,1.7142857142857142,68.33680652339717,3.796489251299843,97.92877252419888,7,1,0,4,0,4,3,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,10,14,3.0,139.52097998526924,7.75116555473718,89.59089902150716,16,1,0,6,2,22,3,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
26,58,126,6.64,4901.021219763532,272.2789566535296,54.52790700345804,58,14,5,22,11,17,17,6,41,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,12,1,0,10,1,19,0,0,0,5,1,0,0,0,1,0,2,0,2,0
7,15,21,2.5454545454545454,208.84106092889172,11.602281162716206,86.3524892189705,18,3,1,10,1,5,4,4,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,3,2,4,0,0,0,1,0,0,0,0,3,0,1,0,0,1
4,11,18,3.4285714285714284,213.49635132161606,11.860908406756447,91.62472023509034,12,2,0,6,0,6,4,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,1
4,15,23,2.727272727272727,245.0685919063525,13.614921772575139,89.98432116972882,13,1,0,6,0,8,5,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,16,34,5.0,680.0,37.77777777777778,89.92403530418413,12,2,0,4,0,14,8,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,78.01508585192973,5,1,0,3,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,78.01508585192973,5,1,0,3,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,16,17,2.5,170.0,9.444444444444445,81.02724022274406,31,0,1,5,2,16,2,2,24,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,4,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1
4,10,11,1.5,54.81181356564148,3.0451007536467487,63.517766046413605,13,1,0,5,0,6,2,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
4,16,24,3.6363636363636362,349.09090909090907,19.39393939393939,89.94454724120317,11,1,0,4,0,5,6,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
3,15,21,3.5,287.15645877722613,15.953136598734785,91.50402112015601,9,1,0,4,0,4,6,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
3,18,23,2.5,239.77068758293296,13.320593754607387,72.60091236433486,27,0,1,4,0,7,4,3,15,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1
5,16,23,3.409090909090909,313.6363636363636,17.424242424242422,87.10876440086834,17,2,1,7,0,10,6,3,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1
3,13,21,3.111111111111111,241.762061585218,13.431225643623222,91.66911399890283,9,1,0,4,0,5,6,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
7,23,36,4.235294117647059,689.7101523588105,38.31723068660059,82.85889139105626,21,3,2,12,3,17,12,2,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1
4,22,26,3.1875,369.57539539456604,20.531966410809225,87.92192064075758,12,1,0,6,2,5,6,2,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1
4,12,27,4.5,435.5729438376205,24.198496879867808,90.69416948524953,11,1,1,5,0,11,6,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
4,8,12,2.4,86.39999999999999,4.8,91.47859571215272,12,1,2,4,0,5,2,2,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,13,15,2.2222222222222223,123.34799060470309,6.852666144705727,82.30167679130574,22,1,1,6,0,6,3,3,18,1,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
2,11,15,2.857142857142857,148.26135508445563,8.236741949136423,68.02189684258907,7,1,0,3,0,4,7,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2,13,15,2.2222222222222223,123.34799060470309,6.852666144705727,74.71713207624886,49,3,2,8,0,5,2,3,26,0,7,0,2,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,3,0,0,1
6,15,53,8.5,1760.0542133216375,97.78078962897986,87.17792033517635,11,3,0,7,1,22,13,3,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,14,15,2.0,114.22064766172811,6.345591536762672,90.35797062453824,13,1,1,6,1,6,3,2,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
