CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
4,9,9,1.5,42.793987519471216,2.377443751081734,76.51480243932319,17,1,0,5,0,22,1,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,5,5,1.0,11.60964047443681,0.6449800263576005,100.0,5,1,1,3,3,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,9,15,2.5,118.87218755408671,6.604010419671484,88.21950906019873,13,1,0,5,1,7,3,1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
4,11,18,2.25,140.10698055481055,7.78372114193392,90.31372040185731,9,3,0,6,0,9,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,12,25,2.6666666666666665,238.9975000480771,13.277638891559839,85.28194796267174,19,6,0,7,0,31,3,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,16,25,3.6363636363636362,363.6363636363636,20.2020202020202,78.8813238493866,16,1,0,7,4,9,7,1,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,17,30,7.0,858.3671966625714,47.687066481253964,83.66688479280778,19,1,2,4,0,9,7,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1
4,12,24,4.0,344.15640006923104,19.11980000384617,60.91362670754337,14,1,2,4,1,15,2,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1
8,11,48,6.0,996.3163061675417,55.350905898196764,81.94816903112022,18,6,1,8,2,20,1,3,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,97.18427176274999,7,1,0,4,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3,3,0.5,2.3774437510817346,0.1320802083934297,86.01658091489601,13,1,0,6,0,5,1,2,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,23,42,6.933333333333334,1317.2612416038023,73.18118008910012,73.41758688567495,19,2,0,6,0,14,7,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,1,0,2,0,0,1
3,13,16,3.125,185.0219859070546,10.27899921705859,84.99831731904852,9,1,1,3,1,6,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,19,30,3.5714285714285716,455.13509072609844,25.28528281811658,82.93333341497328,12,2,2,4,0,13,7,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1
6,15,42,5.090909090909091,835.3642437155669,46.409124650864825,78.09981617974864,15,4,1,8,2,16,7,3,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
